,Name,Link,Distillery,Vintage,Country,Region,Size,Whisky Type,Bottles Produced,Distillery Staus,Strength,Warnings,Sold on,Cask No.,Cask Finish,Fill Level,Bottle No.,Cask Type,Batch No.,Winning Bid,Highest bid,Lot Id
909,GlenDronach - 28 Years Old - Grandeur Batch 011,https://www.highlandwhiskyauctions.com/lot-120283/glendronach-28-years-old-grandeur-batch-011/auction-12,Glendronach,28YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,3181,Operational,48.9%,Minor box defect.,,,,,490,,011,, £640.00,120283
910,GlenDronach - 28 Years Old - Grandeur Batch 011,https://www.highlandwhiskyauctions.com/lot-120303/glendronach-28-years-old-grandeur-batch-011/auction-12,Glendronach,28YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,3181,Operational,48.9%,Minor chip on box.,,,,,488,,011,, £640.00,120303
911,GlenDronach - 28 Years Old - Grandeur Batch 011,https://www.highlandwhiskyauctions.com/lot-120309/glendronach-28-years-old-grandeur-batch-011/auction-12,Glendronach,28YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,3181,Operational,48.9%,None,,,,,545,,011,, £640.00,120309
912,GlenDronach - 28 Years Old - Grandeur Batch 011,https://www.highlandwhiskyauctions.com/lot-120843/glendronach-28-years-old-grandeur-batch-011/auction-12,Glendronach,28YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,3181,Operational,48.9%,Minor box marks.,,,,,509,,011,, £640.00,120843
913,Bowmore - 25 Years Old - The Distiller's Anthology 01,https://www.highlandwhiskyauctions.com/lot-120732/bowmore-25-years-old-the-distillers-anthology-01/auction-12,Bowmore,25YearsOld,Scotland,Islay,70cl,SingleMaltWhisky,3516,Operational,50.2%,None,06/01/2023,,,,0110,,, £600.00,,120732
914,Rosebank - 22 Years Old - Chieftain's 1990,https://www.highlandwhiskyauctions.com/lot-120753/rosebank-22-years-old-chieftains-1990/auction-12,Rosebank,22YearsOld,Scotland,Lowland,70cl,SingleMaltWhisky,512,Closed,50%,Box condition.,06/01/2023,93361,,,,,, £600.00,,120753
915,Bushmills - 1976 Single Barrel #12488 - Downtown Radio,https://www.highlandwhiskyauctions.com/lot-120756/bushmills-1976-single-barrel-12488-downtown-radio/auction-12,Bushmills,,Ireland,Ireland,70cl,IrishWhiskey,,Operational,60%,Minor box marks.,06/01/2023,12488,,,112,,, £600.00,,120756
916,Bowmore - 26 Years Old - 1991 'The Lowest Tide' Woolf/Sung Release 002,https://www.highlandwhiskyauctions.com/lot-120244/bowmore-26-years-old-1991-the-lowest-tide-woolfsung-release-002/auction-12,Bowmore,26YearsOld,Scotland,Islay,70cl,SingleMaltWhisky,287,Operational,50%,None,06/01/2023,27935,,,106,,, £600.00,,120244
917,Laphroaig - 15 Years Old - Pre Royal Warrant 75cl,https://www.highlandwhiskyauctions.com/lot-120262/laphroaig-15-years-old-pre-royal-warrant-75cl/auction-12,Laphroaig,15YearsOld,Scotland,Islay,75cl,SingleMaltWhisky,,Operational,43%,Very minor scratches on tin & label lifting.,,,,,,,,, £600.00,120262
918,Macallan - Concept 1 - 2018,https://www.highlandwhiskyauctions.com/lot-120161/macallan-concept-1-2018/auction-12,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,,,,,,,,, £560.00,120161
919,Ardbeg - 16 Year Old - Rare Cask 2020 #93,https://www.highlandwhiskyauctions.com/lot-120208/ardbeg-16-year-old-rare-cask-2020-93/auction-12,Ardbeg,,Scotland,Islay,70cl,SingleMaltWhisky,671,Operational,50.3%,None,,,,,391,,,, £560.00,120208
920,Macallan - Concept 1 - 2018,https://www.highlandwhiskyauctions.com/lot-120270/macallan-concept-1-2018/auction-12,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,06/01/2023,,,,,,, £560.00,,120270
921,Macallan - Concept 1 - 2018,https://www.highlandwhiskyauctions.com/lot-120296/macallan-concept-1-2018/auction-12,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,,,,,,,,, £560.00,120296
922,St Magdalene - 1975 - Gordon & MacPhail - Rare Old,https://www.highlandwhiskyauctions.com/lot-120446/st-magdalene-1975-gordon-macphail-rare-old/auction-12,SaintMagdaleneLinlithgow,,Scotland,Lowland,70cl,SingleMaltWhisky,,Closed,43%,None,,,,,,,,, £540.00,120446
923,Brora - 20 Years Old - Chieftain's 1982,https://www.highlandwhiskyauctions.com/lot-120754/brora-20-years-old-chieftains-1982/auction-12,Brora,20YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,648,Closed,46%,Very minor box & label marks.,,1197,,,,,,, £540.00,120754
924,Macallan - 1841 Replica,https://www.highlandwhiskyauctions.com/lot-120235/macallan-1841-replica/auction-12,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,41.7%,Box wear/marks.,,,,,,,,, £540.00,120235
925,Glenugie - 31 Years Old - Signatory Vintage 1977,https://www.highlandwhiskyauctions.com/lot-120385/glenugie-31-years-old-signatory-vintage-1977/auction-12,Glenugie,31YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,577,Closed,58.1%,General condition.,06/01/2023,7,,,59,,, £540.00,,120385
926,Macallan - 1841 Replica,https://www.highlandwhiskyauctions.com/lot-120454/macallan-1841-replica/auction-12,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,41.7%,Box condition.,,,,,,,,, £520.00,120454
927,Oban - 20 Years Old - 1961 Connoisseurs Choice 75cl,https://www.highlandwhiskyauctions.com/lot-120299/oban-20-years-old-1961-connoisseurs-choice-75cl/auction-12,Oban,20YearsOld,Scotland,Highland,75cl,SingleMaltWhisky,,Operational,40%,Box condition.,,,,,,,,, £520.00,120299
928,Dalmore - 21 Years Old - 2015 Release,https://www.highlandwhiskyauctions.com/lot-120171/dalmore-21-years-old-2015-release/auction-12,Dalmore,21YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,,Operational,42%,Minor marks on box.,06/01/2023,,,,,,, £500.00,,120171
929,Bruichladdich - 19 Years Old - Black Art 1989 - First Edition ,https://www.highlandwhiskyauctions.com/lot-120453/bruichladdich-19-years-old-black-art-1989-first-edition/auction-12,Bruichladdich,19YearsOld,Scotland,Islay,70cl,SingleMaltWhisky,9000,Operational,51.1%,None,,,,,2921,,,, £500.00,120453
930,Yamazaki - 18 Years Old,https://www.highlandwhiskyauctions.com/lot-120195/yamazaki-18-years-old/auction-12,Yamazaki,18YearsOld,Japan,Japanese,70cl,SingleMaltWhisky,,Operational,43%,Box tear.Minor label lifting.,,,,,,,,, £500.00,120195
931,Macallan - 10 Years Old - Speaker Martin's,https://www.highlandwhiskyauctions.com/lot-120724/macallan-10-years-old-speaker-martins/auction-12,Macallan,10YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Box condition.,,,,,,,,, £500.00,120724
